source1_entity_id	candidate_entity_ids
S1-17225841	S2-13056162,S2-14614633,S2-152479017,S2-179875043,S2-188229710,S2-193184988,S2-1958081,S2-236012541,S2-289405713,S2-360831214,S2-379349723,S2-383148775,S2-384350223,S2-399073862,S2-404259958,S2-419492386,S2-436120738,S2-444238695,S2-453763837,S2-455830760,S2-460277116,S2-477993186,S2-483055121,S2-494755154,S2-511989847,S2-530330935,S2-537495258,S2-541190279,S2-554314129,S2-566688803,S2-570217363,S2-580390359,S2-583740314,S2-599774274,S2-619277617,S2-623992763,S2-631864434,S2-663301829,S2-670055800,S2-67201778,S2-702084214,S2-746133628,S2-763175784,S2-785039800,S2-790527036,S2-797821871,S2-812711831,S2-818687100,S2-820530357,S2-827740014,S2-838242461,S2-865745597,S2-870904723,S2-883995183,S2-888911540,S2-903223182,S2-937072190,S2-957877419,S2-986189127,S3-113835200,S3-117459680,S3-159853730,S3-164166409,S3-174870362,S3-194312432,S3-217363410,S3-261039922,S3-261131864,S3-301807426,S3-324639997,S3-372895519,S3-37435252,S3-38290198,S3-389465162,S3-428603478,S3-445568002,S3-461943482,S3-46521243,S3-475718607,S3-480380320,S3-480630817,S3-487917820,S3-494523969,S3-49624903,S3-505686070,S3-537701936,S3-682003925,S3-694591934,S3-704488374,S3-781292648,S3-782147692,S3-788583320,S3-789271731,S3-831517986,S3-842131954,S3-855136806,S3-916244369,S3-933038091,S3-958176965,S3-983320904
S1-175633133	S2-106295375,S2-108945591,S2-1107791,S2-111528223,S2-115895061,S2-120461372,S2-125448620,S2-160811222,S2-180428829,S2-191713797,S2-226030742,S2-235336556,S2-237249617,S2-291868119,S2-292719735,S2-318587615,S2-345172295,S2-345863671,S2-39483062,S2-404792945,S2-429078889,S2-436674525,S2-44100844,S2-446759769,S2-482785891,S2-488548827,S2-495565633,S2-49714549,S2-498337911,S2-503790841,S2-507728302,S2-510886905,S2-531346412,S2-537464810,S2-541928020,S2-547199669,S2-556021627,S2-583040047,S2-588551697,S2-643744129,S2-662763532,S2-6675433,S2-67201778,S2-680235144,S2-69814176,S2-733608770,S2-801515500,S2-803300183,S2-804627671,S2-805966180,S2-82078690,S2-937720083,S2-953037948,S2-953588261,S2-968356826,S2-968910500,S2-995109858,S3-106298415,S3-115136738,S3-124389482,S3-127038053,S3-130528087,S3-149216607,S3-201773035,S3-203405250,S3-238195891,S3-247396825,S3-276709595,S3-278778310,S3-297021935,S3-321928988,S3-367456320,S3-373339232,S3-39370378,S3-427804511,S3-452725942,S3-45381915,S3-473821372,S3-476407690,S3-477847882,S3-50559062,S3-540996458,S3-545470703,S3-553336860,S3-599175890,S3-6024113,S3-60355966,S3-727073823,S3-750038513,S3-776680917,S3-786746062,S3-799388177,S3-810978593,S3-818730870,S3-829458146,S3-853617876,S3-91018323,S3-916007855,S3-940041505,S3-962335924
S1-181306265	S2-103402904,S2-108860725,S2-111605698,S2-118393214,S2-121707562,S2-137787594,S2-143181162,S2-174240991,S2-175623332,S2-183967309,S2-201376864,S2-202157631,S2-203705380,S2-222899205,S2-254459731,S2-254668576,S2-270518407,S2-276266669,S2-286837475,S2-311198605,S2-324888289,S2-349365849,S2-374604331,S2-381608220,S2-413024226,S2-48423978,S2-533197229,S2-53403506,S2-538521710,S2-544764777,S2-591277113,S2-596848664,S2-611769551,S2-644176941,S2-644844275,S2-65897181,S2-697687581,S2-700717757,S2-728705887,S2-732829021,S2-745445816,S2-804145580,S2-82392642,S2-830550480,S2-831707743,S2-894413559,S2-911500119,S2-937461012,S2-965085514,S2-972563811,S2-973978023,S2-981022954,S3-101994016,S3-115013813,S3-128260107,S3-137228264,S3-140325394,S3-149258679,S3-18155692,S3-215965899,S3-296329804,S3-297700556,S3-30337956,S3-312812006,S3-321023273,S3-325026002,S3-343101544,S3-350780061,S3-368934261,S3-406839754,S3-413822412,S3-464037110,S3-474023151,S3-481062600,S3-556928969,S3-597956126,S3-67559056,S3-680631257,S3-685913740,S3-719847578,S3-741974168,S3-743575962,S3-75093689,S3-753489692,S3-777003283,S3-785038044,S3-792608602,S3-805167640,S3-806725202,S3-854342623,S3-859255836,S3-862445724,S3-891691813,S3-927297155,S3-950425401,S3-955711047,S3-965068145,S3-968847114
S1-184229550	S2-116748146,S2-133059574,S2-160530551,S2-16260387,S2-163839305,S2-17518111,S2-191866478,S2-192390398,S2-202403495,S2-213874601,S2-274905162,S2-285031669,S2-296869138,S2-3037366,S2-306151879,S2-309425451,S2-313048014,S2-322831392,S2-332376933,S2-346341564,S2-356986111,S2-363613489,S2-363779880,S2-365420521,S2-369458829,S2-392377844,S2-408594604,S2-440751152,S2-44619650,S2-450859061,S2-453507226,S2-455122177,S2-470497584,S2-471713609,S2-472818132,S2-487988118,S2-489601345,S2-493952708,S2-505615047,S2-507724194,S2-512030745,S2-515649417,S2-522844813,S2-541449340,S2-551029733,S2-57303947,S2-580324551,S2-586734904,S2-614282312,S2-61626902,S2-629880378,S2-638803013,S2-647596046,S2-65400955,S2-663227434,S2-671629895,S2-683131470,S2-692301447,S2-694009134,S2-698953472,S2-70692312,S2-715230614,S2-715571290,S2-73352295,S2-752646697,S2-765841647,S2-769950730,S2-778585048,S2-789450335,S2-797380328,S2-814881099,S2-825131753,S2-841957465,S2-844790251,S2-85752104,S2-87037101,S2-877823257,S2-885959842,S2-903223182,S2-906620714,S2-936867164,S2-946825174,S2-947498857,S2-956536970,S2-964581929,S2-97167161,S2-991589426,S2-998640273,S3-176880631,S3-304824402,S3-328952319,S3-343893942,S3-381393279,S3-524969528,S3-576297328,S3-64570845,S3-649933182,S3-686262951,S3-846141743,S3-875886981
S1-189218186	S2-104475439,S2-106120366,S2-108313987,S2-108945591,S2-110565207,S2-120369605,S2-124114364,S2-133044236,S2-133308166,S2-16260387,S2-167245478,S2-170729594,S2-182921717,S2-189066909,S2-200626985,S2-216470228,S2-219133326,S2-224032436,S2-238957038,S2-26760280,S2-271901025,S2-306238454,S2-30830908,S2-314163636,S2-314165942,S2-340284927,S2-340663944,S2-353638829,S2-360326943,S2-36165230,S2-363779880,S2-371437571,S2-379118065,S2-383575628,S2-396009333,S2-397718123,S2-422823833,S2-428097788,S2-436225620,S2-43862945,S2-449997657,S2-466142484,S2-475326292,S2-481816831,S2-494430593,S2-496438430,S2-502406312,S2-510251746,S2-512133127,S2-520769631,S2-521665381,S2-536231721,S2-539066227,S2-551029733,S2-559827120,S2-560263186,S2-574487035,S2-57473027,S2-581314634,S2-584202014,S2-609895919,S2-624218277,S2-640571137,S2-659006722,S2-660319857,S2-675076934,S2-687617807,S2-70189931,S2-70236447,S2-725878569,S2-731682240,S2-732707735,S2-735492863,S2-746168718,S2-751140686,S2-762806109,S2-770435205,S2-772527930,S2-773094602,S2-790231810,S2-792073969,S2-798604219,S2-818687100,S2-820645328,S2-851147060,S2-85163295,S2-853399841,S2-86980319,S2-877479417,S2-907018183,S2-91305348,S2-92393326,S2-941675979,S2-96826049,S2-971339247,S2-971652107,S2-974326661,S2-981307302,S2-988123906,S2-993991209
S1-192345497	S2-112351269,S2-120075345,S2-136309331,S2-139986213,S2-146366237,S2-162194884,S2-175586454,S2-18350746,S2-185249310,S2-193396157,S2-225417787,S2-316952029,S2-352561696,S2-356420499,S2-407929392,S2-411902701,S2-429220238,S2-447430948,S2-449335050,S2-518011514,S2-522933880,S2-526732033,S2-547415476,S2-554374028,S2-558603704,S2-571618880,S2-575479656,S2-582984116,S2-586684751,S2-589760572,S2-619729449,S2-630399387,S2-660519763,S2-68292078,S2-68755534,S2-687568056,S2-722247491,S2-730591902,S2-73262730,S2-741124141,S2-741789915,S2-783379356,S2-793469800,S2-825354133,S2-82760124,S2-84013571,S2-841294591,S2-876951170,S2-877322040,S2-891273316,S2-904702630,S2-934566883,S2-94376815,S2-945448598,S2-986801518,S2-996679134,S3-118652570,S3-128177244,S3-145385848,S3-169807352,S3-202927718,S3-205353312,S3-226932384,S3-268161287,S3-32897060,S3-331758731,S3-372738436,S3-400680910,S3-426372854,S3-429816693,S3-431195246,S3-432164890,S3-449907579,S3-485624030,S3-490050003,S3-561882006,S3-563413751,S3-5725561,S3-587534206,S3-589102184,S3-600536079,S3-606793697,S3-633327211,S3-650392639,S3-657680686,S3-761140564,S3-799084647,S3-803279224,S3-805406752,S3-844016392,S3-849115744,S3-892908848,S3-899688620,S3-940159847,S3-94098514,S3-955711047,S3-968023171,S3-977744093,S3-981086057,S3-990066696
S1-196390702	S2-249274723,S2-312982568,S2-971491700,S2-986526857,S3-216985439,S3-374087857,S3-464868963
S1-200376709	S2-136673444,S2-22772506,S2-375083807,S2-39875582,S2-536825589,S2-649648203,S2-730529305,S2-9622708,S2-994313839,S3-226384310,S3-242015140,S3-455728072,S3-511099787,S3-776214266,S3-822589939
S1-218059706	S2-108065880,S2-114801328,S2-223123751,S2-228344851,S2-230599465,S2-327522800,S2-353638583,S2-368741512,S2-378174785,S2-383069541,S2-427374357,S2-463532424,S2-470363816,S2-486142510,S2-502689864,S2-547560114,S2-550159674,S2-55469073,S2-579271383,S2-594964349,S2-600639100,S2-659496238,S2-661469758,S2-69949948,S2-716238434,S2-770240710,S2-801515500,S2-807204278,S2-839049213,S2-93531460,S2-937703023,S2-943275758,S2-959055819,S2-977609843,S3-106299680,S3-128468410,S3-1580244,S3-21825866,S3-228157744,S3-230524638,S3-259971488,S3-354849815,S3-368578128,S3-373886679,S3-384894232,S3-392476214,S3-418381400,S3-429402153,S3-431548740,S3-442218575,S3-445064778,S3-465943316,S3-472881816,S3-506417967,S3-567254295,S3-593653539,S3-59442518,S3-619115665,S3-620949089,S3-621348250,S3-621578492,S3-648072647,S3-651894123,S3-704023784,S3-720446806,S3-73911389,S3-754336317,S3-850599972,S3-855822613,S3-897999922,S3-905710420,S3-929258201,S3-96326193,S3-973786081,S3-980044684,S3-993643866
S1-218685314	S2-355710074,S2-441422968,S2-483721454,S2-574121799,S2-795284924,S3-586356121
S1-225119054	S2-116092947,S2-133252993,S2-134175529,S2-160639671,S2-164189233,S2-171373513,S2-184654292,S2-201282819,S2-213208828,S2-27148087,S2-281619106,S2-315927317,S2-323169426,S2-397789829,S2-414862682,S2-420616935,S2-447033408,S2-450626551,S2-460596421,S2-464266370,S2-502594473,S2-533780258,S2-53403506,S2-535988246,S2-563644814,S2-564433190,S2-572650198,S2-595099737,S2-596878321,S2-61500008,S2-640723488,S2-655597187,S2-656088679,S2-657114549,S2-711990899,S2-720231428,S2-720590139,S2-722559992,S2-747243692,S2-776356778,S2-791255533,S2-795140573,S2-795679709,S2-795982805,S2-798231209,S2-822701319,S2-836846019,S2-861132068,S2-862492525,S2-867607931,S2-868365106,S2-869229747,S2-872823424,S2-874938733,S2-894413559,S2-902261581,S2-904158203,S2-918285488,S2-936968165,S2-944488484,S2-985113991,S2-98707133,S3-161336442,S3-163931885,S3-184184895,S3-261187527,S3-272683622,S3-312776040,S3-313623455,S3-321283249,S3-325293473,S3-332269524,S3-36224725,S3-383593111,S3-399765872,S3-421904444,S3-42899407,S3-439795752,S3-467899517,S3-511364093,S3-51527370,S3-565676085,S3-584555201,S3-585575465,S3-589164622,S3-641694435,S3-667194353,S3-672442271,S3-726498163,S3-740659337,S3-750214481,S3-755273372,S3-769019341,S3-795517480,S3-804001801,S3-822866561,S3-909445473,S3-916573867,S3-91897302,S3-928474436
S1-233296344	S2-111641611,S2-124529526,S2-140328910,S2-145015769,S2-164910921,S2-168696402,S2-178592933,S2-178971361,S2-179461864,S2-182052336,S2-195660368,S2-235398491,S2-248809787,S2-327631457,S2-334354664,S2-404259958,S2-430522363,S2-431057563,S2-432715099,S2-468895832,S2-498830657,S2-553540706,S2-558106126,S2-592423112,S2-602602812,S2-610679926,S2-620175749,S2-629475386,S2-636166046,S2-639672397,S2-646707611,S2-67505679,S2-69214320,S2-699404448,S2-706697276,S2-715030074,S2-758796661,S2-776332691,S2-789940564,S2-803262623,S2-80665528,S2-808715434,S2-82532406,S2-831521394,S2-835259028,S2-872148505,S2-913818679,S2-927844008,S2-942901070,S2-957877419,S2-997128035,S3-103683355,S3-105461164,S3-130861131,S3-132618172,S3-164651940,S3-180349922,S3-216873377,S3-248233177,S3-279620386,S3-287213928,S3-297361998,S3-311049255,S3-356360499,S3-357435889,S3-359504194,S3-37443535,S3-408447852,S3-409393969,S3-412943039,S3-421438703,S3-439695686,S3-459197768,S3-471719999,S3-484999003,S3-485012277,S3-49624903,S3-498724150,S3-516953165,S3-535587808,S3-589149301,S3-599948568,S3-620878970,S3-628688953,S3-675966530,S3-791250347,S3-807984379,S3-810388585,S3-818582172,S3-826439464,S3-830636602,S3-833886483,S3-878050024,S3-882605073,S3-886413573,S3-891148454,S3-912166196,S3-957910544,S3-958298086,S3-962364406
S1-234423373	S2-140184475,S2-162418031,S2-190825164,S2-279085239,S2-300929164,S2-311499193,S2-317848192,S2-318532387,S2-407012146,S2-409737188,S2-409751632,S2-524362280,S2-566943724,S2-595195571,S2-739208908,S2-781156831,S2-801400541,S2-817935651,S2-859408131,S2-973724667,S3-162997581,S3-184503228,S3-211640022,S3-248738800,S3-279111667,S3-283011224,S3-320929683,S3-347799178,S3-384725073,S3-414922290,S3-500236934,S3-514201671,S3-520303683,S3-541227706,S3-558795526,S3-569338351,S3-633855307,S3-634035761,S3-688129072,S3-728281172,S3-879599711,S3-894367474,S3-899583090,S3-941024747
